"anio","carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","15","0","15","14"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","URQUIZA","Escuela Normal Superior Justo José de Urquiza","8","0","8","7"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","7","0","7","6"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","16","0","16","15"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","55","0","55","54"
"2020","Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Junio 2017","2017","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","URQUIZA","Escuela Normal Superior Justo José de Urquiza","5","0","5","3"
"2020","Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Junio 2017","2017","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","SANMARTIN","Colegio Superior San Martín","10","0","10","7"
"2020","Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Junio 2017","2017","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","7","0","7","6"
"2020","Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Junio 2017","2017","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","23","0","23","20"
"2020","Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Mayo 2019","2019","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","57","0","57","57"
